Year,Just in Time
 1950-01,8.68E-09
 1951-01,3.72E-09
 1952-01,3.95E-09
 1953-01,2.01E-08
 1954-01,1.22E-08
 1955-01,9.24E-09
 1956-01,7.41E-09
 1957-01,1.99E-08
 1958-01,2.18E-08
 1959-01,1.30E-08
 1960-01,1.76E-08
 1961-01,1.53E-08
 1962-01,1.08E-08
 1963-01,1.05E-08
 1964-01,6.62E-09
 1965-01,6.48E-09
 1966-01,8.35E-09
 1967-01,7.14E-09
 1968-01,5.30E-09
 1969-01,5.58E-09
 1970-01,5.50E-09
 1971-01,5.36E-09
 1972-01,4.98E-09
 1973-01,5.37E-09
 1974-01,5.13E-09
 1975-01,5.32E-09
 1976-01,5.60E-09
 1977-01,5.07E-09
 1978-01,5.46E-09
 1979-01,5.19E-09
 1980-01,4.64E-09
 1981-01,8.99E-09
 1982-01,7.45E-09
 1983-01,9.32E-09
 1984-01,1.78E-08
 1985-01,2.02E-08
 1986-01,2.84E-08
 1987-01,3.87E-08
 1988-01,4.54E-08
 1989-01,3.74E-08
 1990-01,3.86E-08
 1991-01,3.54E-08
 1992-01,4.04E-08
 1993-01,3.13E-08
 1994-01,3.47E-08
 1995-01,4.33E-08
 1996-01,4.92E-08
 1997-01,5.43E-08
 1998-01,3.83E-08
 1999-01,4.75E-08
 2000-01,4.78E-08
 2001-01,4.42E-08
 2002-01,4.16E-08
 2003-01,3.35E-08
 2004-01,3.02E-08
 2005-01,3.12E-08
 2006-01,3.15E-08
 2007-01,3.31E-08
 2008-01,2.76E-08
 2009-01,2.88E-08
 2010-01,3.03E-08
 2011-01,2.94E-08
 2012-01,3.20E-08
 2013-01,2.75E-08
 2014-01,2.84E-08
 2015-01,2.39E-08
 2016-01,3.00E-08
 2017-01,2.52E-08
 2018-01,2.74E-08
 2019-01,3.06E-08
 2020-01,2.16E-08
 2021-01,2.64E-08
 2022-01,2.79E-08