file_path,title,alternative_title,author_name_1,author_affiliation_1,author_orcid_1,author_name_2,author_affiliation_2,author_orcid_2,description,publication_date,publisher,doi,keywords,license,access_right,embargo_date,upload_type,publication_type,status,generated_doi,rights,language,additional_titles,related_identifiers,code_repository,programming_language,development_status
data/documents/Informe_01-IC.pdf,Reingeniería de Procesos,Complementary Report: Multi-source Comparative Statistical Analysis for Reingeniería de Procesos,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report presents a multi-source comparative statistical analysis of the management tool, Process Reengineering, to understand its evolutionary trajectory. The study synthesizes longitudinal data from five distinct sources: Google Trends (public interest), Google Books Ngram (literary discourse), Crossref.org (academic publications), and Bain & Company surveys (executive usability and satisfaction). The analysis reveals a dual life cycle for Process Reengineering. Initially, it followed the classic pattern of a management fad, characterized by an explosive adoption boom in the mid-1990s, strongly correlated with public interest, followed by a drastic decline. This phase was marked by a significant negative correlation between high adoption rates and low user satisfaction. However, the analysis also uncovers a second, more persistent life cycle. Academic and literary discourse continued long after practical adoption collapsed, and user satisfaction paradoxically rose to its peak decades later, suggesting a ""survival effect."" The tool evolved from a universally promoted trend into a high-value, specialized practice for a niche of expert users. The study concludes that a multi-faceted, ecosystemic approach is essential to holistically understand the complex dynamics of management tools, as reliance on a single data source can be misleading.",2025-03,Solidum Producciones,10.5281/zenodo.15339316,"Process Reengineering, Business Process Reengineering (BPR), Management Fads, Management Tools, Multi-source Analysis, Longitudinal Data Analysis, Statistical Analysis, Google Trends, Google Books Ngram, Crossref, Bain & Company, Principal Component Analysis (PCA), Correlation Analysis, Life Cycle Analysis, Adoption Curve, User Satisfaction, Niche Practice, Data Triangulation, Managerial Science, Ecosystemic Perspective",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Reingenier\u00eda de Procesos"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_02-IC.pdf,Gestión de la Cadena de Suministro,Complementary Report: Multi-source Comparative Statistical Analysis for Gestión de la Cadena de Suministro,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report presents a multi-source, comparative statistical analysis of Supply Chain Management (SCM) to determine its lifecycle and nature as a managerial tool. The study integrates and contrasts longitudinal data from five distinct sources: Google Trends (public interest), Google Books Ngram (literary discourse), Crossref.org (academic output), and Bain & Company surveys (executive usability and satisfaction). Employing temporal analysis, inter-source correlation and regression, and Principal Component Analysis (PCA), the report challenges the classification of SCM as a mere management fad. The findings reveal a fundamental duality in SCM's evolution: a stable, institutionalized ""core"" characterized by profound academic consolidation and high, sustained user satisfaction, and a volatile, reactive ""periphery"" of public attention and adoption, which responds episodically to external crises like the COVID-19 pandemic. The PCA identifies two primary, orthogonal dynamics: ""Institutional Consolidation and Strategic Value"" and ""Public Interest and Practical Adoption."" The desynchronized timelines of these two dimensions provide strong evidence that SCM is a complex, enduring, and fundamental management practice, not a transient trend, whose strategic importance is periodically magnified by global disruptions.",2025-03,Solidum Producciones,10.5281/zenodo.15339318,"Supply Chain Management (SCM), Multi-source Analysis, Statistical Analysis, Data Ecosystem, Managerial Tools, Google Trends, Google Books Ngram, Crossref, Bain & Company, Principal Component Analysis (PCA), Correlation Analysis, Temporal Analysis, Management Fads, Longitudinal Data, Data Triangulation, Institutional Consolidation, Strategic Value, Public Interest, Trend Analysis, Data-driven Management",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Gesti\u00f3n de la Cadena de Suministro"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_03-IC.pdf,Planificación de Escenarios,Complementary Report: Multi-source Comparative Statistical Analysis for Planificación de Escenarios,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report presents a multi-source comparative statistical analysis of ""Scenario Planning"" to determine its life cycle and nature as a management tool. The study synthesizes longitudinal data from five distinct sources: Google Trends (public interest), Google Books Ngram (literary discourse), Crossref.org (academic production), and Bain & Company surveys (corporate usability and satisfaction). Through comparative temporal analysis, correlation and regression, and Principal Component Analysis (PCA), the report reveals a complex dynamic. Key findings indicate that Scenario Planning is not a transient management fad but a fundamental practice with cyclical public visibility. A strong correlation exists between public interest and business adoption, but this is negatively correlated with user satisfaction. The analysis identifies a structural tension between the tool's popular ""hype"" (high visibility and use) and its ""substance"" (perceived value and theoretical consolidation). While public interest peaks and wanes, particularly during crises, user satisfaction shows sustained growth, suggesting the tool's resilience and enduring value once properly implemented. The study concludes that Scenario Planning's life cycle is a persistent, evolving trajectory, challenging simplistic classifications and highlighting the need for multi-source analysis in understanding management phenomena.",2025-03,Solidum Producciones,10.5281/zenodo.15339320,"Scenario Planning, Statistical Analysis, Multi-source Data, Management Fads, Longitudinal Analysis, Trend Analysis, Correlation Analysis, Principal Component Analysis (PCA), Google Trends, Google Books Ngram, Crossref, Bain & Company, Corporate Usability, User Satisfaction, Life Cycle Analysis, Tool Adoption, Public Interest, Academic Discourse, Perceived Value, Data Ecosystem",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Planificaci\u00f3n de Escenarios"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_04-IC.pdf,Planificación Estratégica,Complementary Report: Multi-source Comparative Statistical Analysis for Planificación Estratégica,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report presents a comparative, multi-source statistical analysis of the management tool, Strategic Planning. The study synthesizes findings from five distinct data sources—Google Trends (public interest), Google Books Ngram (literary presence), Crossref.org (academic discourse), Bain & Co. Usability surveys (corporate adoption), and Bain & Co. Satisfaction surveys (perceived value)—to build a holistic narrative of the tool's evolution. Key findings reveal a significant divergence: while general public interest and broad corporate adoption have steadily declined since a peak in the early 2000s, user satisfaction and academic research have shown recent growth and resurgence. The analysis suggests that Strategic Planning is not an obsolete management fad but is undergoing a profound transformation. It is evolving from a universally applied, ""broad and superficial"" practice into a more specialized, ""narrow and deep"" tool that is highly valued by a more focused group of expert users. The study employs temporal comparison, correlation analysis, and Principal Component Analysis (PCA) to demonstrate that the tool's life cycle is complex, with a fundamental tension between mass adoption and critically valued, effective implementation.",2025-03,Solidum Producciones,10.5281/zenodo.15339322,"Strategic Planning, Multi-source Data Analysis, Longitudinal Study, Management Fads, Temporal Trends, Google Trends, Google Books Ngram, Crossref, Bain & Company, Usability, User Satisfaction, Correlation Analysis, Principal Component Analysis (PCA), Tool Lifecycle, Adoption vs. Satisfaction, Academic Discourse, Public Interest, Managerial Practice, Data Ecosystem, Practice Specialization",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Planificaci\u00f3n Estrat\u00e9gica"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_05-IC.pdf,Experiencia del Cliente,Complementary Report: Multi-source Comparative Statistical Analysis for Experiencia del Cliente,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report presents a multi-source comparative statistical analysis of the management tool ""Customer Experience."" The study triangulates data from five distinct sources—Google Trends (public interest), Google Books Ngram (literary discourse), Crossref.org (academic publications), Bain & Co. Usability (corporate adoption), and Bain & Co. Satisfaction (perceived value)—to provide a holistic view of the tool's life cycle. The analysis reveals divergent trajectories: while academic and literary discourse shows sustained growth, practical adoption has declined since an early peak, although user satisfaction shows signs of recovery. Correlation analysis indicates a strong positive relationship between public interest and practical adoption, yet a weak link between adoption and satisfaction. Principal Component Analysis (PCA) uncovers two fundamental tensions: one between formal academic discourse and market dynamics, and another between the general hype surrounding the tool and the actual value perceived by users. The report concludes that ""Customer Experience"" has undergone a conceptual metamorphosis, evolving from a discrete tool into an integrated management philosophy. Its multifaceted life cycle, behaving as a fad in public interest, a fundamental practice in academia, and a transforming concept in business, challenges simplistic classifications and highlights the complex dynamics of management innovations.",2025-03,Solidum Producciones,10.5281/zenodo.15339324,"Customer Experience (CX), Customer Experience Management (CEM), Multi-source Data Analysis, Statistical Analysis, Longitudinal Study, Management Tools, Management Fads, Time Series Analysis, Correlation Analysis, Principal Component Analysis (PCA), Google Trends, Google Books Ngram, Crossref, Bain & Company, Corporate Adoption, User Satisfaction, Academic Discourse, Public Interest, Conceptual Metamorphosis, Data Triangulation",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Experiencia del Cliente"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_06-IC.pdf,Calidad Total,Complementary Report: Multi-source Comparative Statistical Analysis for Calidad Total,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report provides a complementary, multi-source comparative statistical analysis of Total Quality Management (TQM). It examines the tool's lifecycle by integrating and contrasting longitudinal data from five distinct sources: Google Trends (public interest), Google Books Ngram (literary discourse), Crossref.org (academic publications), Bain & Company Usability surveys (executive adoption), and Bain & Company Satisfaction surveys (perceived value). The analysis reveals a complex, two-stage evolution for TQM. The first stage, peaking in the 1990s, aligns with the classic ""management fad"" archetype, characterized by synchronized growth in academic discourse, public interest, and corporate adoption, but paradoxically accompanied by declining user satisfaction. The second stage demonstrates a significant divergence: while public and academic attention waned, practical adoption eroded slowly, and user satisfaction experienced a dramatic resurgence from the mid-2000s onward. Principal Component Analysis (PCA) identifies a primary dimension of ""General Relevance"" (capturing the rise and fall of discourse and adoption) and a secondary dimension of ""Tension between Hype and Institutionalized Value."" Correlation analysis confirms a strong negative relationship between public interest ""hype"" and user satisfaction. The report concludes that TQM is not a simple expired fad but a hybrid phenomenon that transitioned into a persistent, highly-valued niche competence for a core group of organizations.",2025-03,Solidum Producciones,10.5281/zenodo.15339326,"Total Quality Management (TQM), Management Fads, Multi-source Analysis, Longitudinal Data, Statistical Analysis, Lifecycle Analysis, Google Trends, Google Books Ngram, Crossref, Bain & Company, Principal Component Analysis (PCA), Correlation Analysis, Time Series Analysis, Managerial Tools, Organizational Persistence, User Satisfaction, Corporate Adoption, Academic Discourse, Public Interest, Data Triangulation",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Calidad Total"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_07-IC.pdf,Propósito y Visión,Complementary Report: Multi-source Comparative Statistical Analysis for Propósito y Visión,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report provides a complementary multi-source comparative statistical analysis of the management tool ""Purpose and Vision."" Integrating longitudinal data from five distinct sources—Google Trends (public interest), Google Books Ngram (literary discourse), Crossref.org (academic publications), and Bain & Company surveys (executive usability and satisfaction)—the study examines the tool's complex evolutionary trajectory. The analysis reveals a significant asynchrony in its lifecycle across these domains. Key findings indicate that while mass adoption peaked in the 1990s and public interest declined after the 2000s, user satisfaction has shown a recent and sustained increase. The study concludes that ""Purpose and Vision"" does not follow a simple management fad pattern but rather an adaptive evolutionary cycle, transforming from a widely adopted tool to a more niche but deeply valued practice. This highlights a critical divergence between popularity, practical implementation, and perceived value over time.",2025-03,Solidum Producciones,10.5281/zenodo.15339328,"Purpose and Vision, Strategic Management, Management Tools, Multi-source Analysis, Comparative Statistical Analysis, Longitudinal Study, Management Fads, Lifecycle Analysis, Google Trends, Google Books Ngram, Crossref, Bain & Company, User Satisfaction, Adoption Rate, Principal Component Analysis (PCA), Correlation Analysis, Hype Cycle, Expectation-Satisfaction Gap, Academic Discourse, Managerial Practice",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Prop\u00f3sito y Visi\u00f3n"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_08-IC.pdf,Benchmarking,Complementary Report: Multi-source Comparative Statistical Analysis for Benchmarking,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This report provides a multi-source comparative statistical analysis of the management tool, Benchmarking, examining its evolution through five distinct data sources: Google Trends (public interest), Google Books Ngram (literary presence), Crossref.org (academic discourse), and Bain & Company surveys on Usability (corporate adoption) and Satisfaction (perceived value). The analysis reveals a dual life cycle for Benchmarking. One narrative shows its consolidation as a stable, doctrinal concept with a robust and enduring academic legacy, evidenced by data from Google Books and Crossref. The other narrative depicts a cyclical pattern of practical adoption and managerial attention, characteristic of a management ""fad"" with a clear ""golden age"" of peak use and satisfaction between 1996 and 2004, as seen in Bain & Co. and Google Trends data. A significant ""great divergence"" occurred post-2004, separating practical adoption trends from a recent resurgence in academic interest. The study concludes that Benchmarking is not a simple fad but a resilient, fundamental practice that, after a period of massive popularity, has evolved into a more specialized tool and a dynamic field of academic study. This multifaceted trajectory highlights the necessity of a multi-source approach to holistically understand the life cycles of management tools.",2025-03,Solidum Producciones,10.5281/zenodo.15339330,"Benchmarking, Statistical Analysis, Multi-source Analysis, Management Tools, Managerial Fads, Lifecycle Analysis, Longitudinal Data, Google Trends, Google Books Ngram, Crossref.org, Bain & Company, Corporate Adoption, User Satisfaction, Academic Discourse, Principal Component Analysis (PCA), Correlation Analysis, Regression Analysis, Data Ecosystem, Comparative Analysis, Best Practices",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Benchmarking"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_09-IC.pdf,Competencias Centrales,Complementary Report: Multi-source Comparative Statistical Analysis for Competencias Centrales,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report provides a multi-source comparative statistical analysis of the management tool ""Core Competencies,"" examining its trajectory through five distinct data ecosystems: Google Trends (public interest), Google Books Ngram (literary presence), Crossref.org (academic discourse), Bain & Company Usability (executive adoption), and Bain & Company Satisfaction (perceived value). The study reveals a dual lifecycle for the concept: it behaved as a management fad in the practical sphere, characterized by a rapid boom-and-bust cycle of adoption and declining satisfaction, particularly in the 1990s and 2000s. Conversely, in the academic and literary domains, Core Competencies has established itself as an enduring, foundational doctrine, showing sustained growth and even a recent resurgence in relevance. Through temporal, correlation, and Principal Component Analysis (PCA), the report highlights a fundamental structural fracture between theory and practice. The primary dynamic identified is a tension between the growing academic discourse and the declining practical application, suggesting the tool has transformed from an operational implement to a pillar of strategic thought. The findings demonstrate that a multi-source perspective is crucial for understanding the complex evolution of management tools, which can simultaneously decline in practice while consolidating as a core theoretical concept.",2025-03,Solidum Producciones,10.5281/zenodo.15339332,"Core Competencies, Statistical Analysis, Multi-source Analysis, Management Fads, Management Tools, Lifecycle Analysis, Temporal Analysis, Correlation Analysis, Regression Analysis, Principal Component Analysis (PCA), Google Trends, Google Books Ngram, Crossref, Bain & Company, Usability, Satisfaction, Academic Discourse, Practical Application, Theory and Practice, Strategic Management.",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Competencias Centrales"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_10-IC.pdf,Cuadro de Mando Integral,Complementary Report: Multi-source Comparative Statistical Analysis for Cuadro de Mando Integral,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report provides a multi-source comparative statistical analysis of the Balanced Scorecard, examining its evolution through five distinct data ecosystems: public interest (Google Trends), literary presence (Google Books Ngram), academic discourse (Crossref.org), executive adoption (Bain & Co. Usability), and perceived value (Bain & Co. Satisfaction). The study reveals a complex lifecycle, challenging its classification as a simple management fad. Key findings indicate a strong negative correlation between widespread adoption and user satisfaction, suggesting that as the tool's popularity peaked in the mid-2000s, its perceived value for the average user declined. The analysis highlights a divergence between practical application and academic discourse, which operated on a separate, independent trajectory. The report concludes that the Balanced Scorecard transitioned from a phase of mass adoption driven by hype to a phase of effective, valued use by a core group of satisfied organizations, demonstrating a maturation into a fundamental management practice rather than obsolescence. This multi-faceted view refutes unidimensional conclusions and underscores the necessity of using multiple data sources to analyze management tools.",2025-03,Solidum Producciones,10.5281/zenodo.15339334,"Balanced Scorecard, Statistical Analysis, Multi-source Data Analysis, Management Tools, Management Fads, Trend Analysis, Time Series Analysis, Principal Component Analysis (PCA), Correlation Analysis, User Satisfaction, Tool Adoption Lifecycle, Strategic Management, Performance Measurement, Google Trends, Google Books Ngram, Crossref, Bain & Company, Academic Discourse, Data Ecosystem, Longitudinal Study",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Cuadro de Mando Integral"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
data/documents/Informe_11-IC.pdf,Alianzas y Capital de Riesgo,Complementary Report: Multi-source Comparative Statistical Analysis for Alianzas y Capital de Riesgo,"Anez, Diomar",Solidum Producciones,0000-0002-7925-5078,"Anez, Dimar",Wise Connex,0009-0001-5386-2689,"This technical report provides a comprehensive, multi-source comparative statistical analysis of the management tool ""Alliances and Venture Capital."" The study evaluates the tool's longitudinal evolution by integrating data from five distinct sources: Google Trends (public interest), Google Books Ngram (literary discourse), Crossref.org (academic publications), and Bain & Company surveys on both usability (practical adoption) and satisfaction (perceived value). The analysis employs temporal comparisons, inter-source correlation and regression, and Principal Component Analysis (PCA) to uncover the complex dynamics of the tool's lifecycle. A key finding is the dualistic trajectory of Alliances and Venture Capital: it initially behaved like a classic management fad, experiencing a massive boom in adoption during the 1990s followed by a sharp and sustained decline. However, while metrics of widespread use and public interest have waned, satisfaction among the remaining niche users has consistently increased, reaching historical highs in recent years. This fundamental divergence reveals a transformation from a mass-market trend into a highly valued, specialized practice. The analysis confirms a strong positive correlation between public interest and practical adoption, alongside a significant negative correlation between adoption and user satisfaction, suggesting that widespread use led to misapplication and disillusionment. The report concludes that the tool has had a ""double life,"" surviving its initial fad phase to become a durable, high-value strategic capability for a select group of organizations.",2025-03,Solidum Producciones,10.5281/zenodo.15339336,"Alliances, Venture Capital, Statistical Analysis, Multi-source Analysis, Comparative Analysis, Management Tools, Management Fads, Lifecycle Analysis, Longitudinal Data, Google Trends, Google Books Ngram, Bain & Company, Usability, User Satisfaction, Correlation Analysis, Regression Analysis, Principal Component Analysis (PCA), Trend Analysis, Academic Discourse, Practical Adoption",cc-by-nc-4.0,open,,publication,book,pending,,"© 2025, Diomar G. Añez B., y Dimar J. Añez B.",spa,"[{""title"": ""Complementary Report: Multi-source Comparative Statistical Analysis for Alianzas y Capital de Riesgo"", ""type"": ""alternative-title"", ""lang"": ""eng""}]","[{""identifier"": ""https://dataverse.harvard.edu/dataverse/management-fads"", ""relation"": ""isDocumentedBy"", ""scheme"": ""url"", ""resource_type"": ""dataset""}]",https://github.com/Wise-Connex/Management-Tools-Analysis.git,Python,Active
