Herramienta Gerencial,Year,Satisfacción
Reingeniería de Procesos,1993,3.82
Reingeniería de Procesos,2000,3.66
Reingeniería de Procesos,2002,3.75
Reingeniería de Procesos,2004,3.9
Reingeniería de Procesos,2006,3.77
Reingeniería de Procesos,2008,3.85
Reingeniería de Procesos,2010,3.84
Reingeniería de Procesos,2012,3.84
Reingeniería de Procesos,2014,3.78
Reingeniería de Procesos,2017,4.02
Reingeniería de Procesos,2022,4.1
Gestión de la Cadena de Suministro,1999,3.88
Gestión de la Cadena de Suministro,2000,3.75
Gestión de la Cadena de Suministro,2002,3.8
Gestión de la Cadena de Suministro,2004,3.99
Gestión de la Cadena de Suministro,2006,3.77
Gestión de la Cadena de Suministro,2008,3.81
Gestión de la Cadena de Suministro,2010,3.88
Gestión de la Cadena de Suministro,2012,3.86
Gestión de la Cadena de Suministro,2014,3.85
Gestión de la Cadena de Suministro,2017,4.05
Gestión de la Cadena de Suministro,2022,4.1
Planificación de Escenarios,1993,3.69
Planificación de Escenarios,1999,3.9
Planificación de Escenarios,2000,3.7
Planificación de Escenarios,2004,3.9
Planificación de Escenarios,2006,3.78
Planificación de Escenarios,2008,3.83
Planificación de Escenarios,2010,3.82
Planificación de Escenarios,2012,3.78
Planificación de Escenarios,2014,3.8
Planificación de Escenarios,2017,3.99
Planificación de Escenarios,2022,4.2
Planificación Estratégica Dinámica,1999,4.02
Planificación Estratégica Dinámica,2000,3.93
Planificación Estratégica Dinámica,2002,4.04
Planificación Estratégica Dinámica,2004,4.14
Planificación Estratégica Dinámica,2006,3.93
Planificación Estratégica Dinámica,2008,4.01
Planificación Estratégica Dinámica,2010,4
Planificación Estratégica Dinámica,2012,3.91
Planificación Estratégica Dinámica,2014,3.93
Planificación Estratégica Dinámica,2017,4.03
Planificación Estratégica Dinámica,2022,4.2
Gestión de la Experiencia del Cliente,1993,4.9
Gestión de la Experiencia del Cliente,1999,3.96
Gestión de la Experiencia del Cliente,2000,3.85
Gestión de la Experiencia del Cliente,2002,3.81
Gestión de la Experiencia del Cliente,2004,3.91
Gestión de la Experiencia del Cliente,2006,3.87
Gestión de la Experiencia del Cliente,2008,3.83
Gestión de la Experiencia del Cliente,2010,3.92
Gestión de la Experiencia del Cliente,2012,3.95
Gestión de la Experiencia del Cliente,2014,3.93
Gestión de la Experiencia del Cliente,2017,4.01
Gestión de la Experiencia del Cliente,2022,4.3
Gestión de la Calidad Total,1993,3.81
Gestión de la Calidad Total,1999,3.95
Gestión de la Calidad Total,2000,3.82
Gestión de la Calidad Total,2002,3.8
Gestión de la Calidad Total,2004,3.93
Gestión de la Calidad Total,2006,3.8
Gestión de la Calidad Total,2008,3.8
Gestión de la Calidad Total,2010,3.99
Gestión de la Calidad Total,2012,3.93
Gestión de la Calidad Total,2014,3.97
Gestión de la Calidad Total,2017,4.09
Gestión de la Calidad Total,2022,4.3
"Propósito, Misión y Visión",1993,4.9
"Propósito, Misión y Visión",1999,3.99
"Propósito, Misión y Visión",2000,3.99
"Propósito, Misión y Visión",2002,3.74
"Propósito, Misión y Visión",2004,3.87
"Propósito, Misión y Visión",2006,3.78
"Propósito, Misión y Visión",2008,3.91
"Propósito, Misión y Visión",2010,3.99
"Propósito, Misión y Visión",2012,3.9
"Propósito, Misión y Visión",2014,3.82
"Propósito, Misión y Visión",2017,4
"Propósito, Misión y Visión",2022,4.2
Benchmarking,1993,3.7
Benchmarking,1999,3.89
Benchmarking,2000,3.77
Benchmarking,2002,3.96
Benchmarking,2004,3.98
Benchmarking,2006,3.8
Benchmarking,2008,3.82
Benchmarking,2010,3.86
Benchmarking,2012,3.86
Benchmarking,2014,3.8
Benchmarking,2017,3.94
Competencias Centrales,1993,3.61
Competencias Centrales,1999,3.79
Competencias Centrales,2000,3.61
Competencias Centrales,2002,4.01
Competencias Centrales,2004,3.97
Competencias Centrales,2006,3.86
Competencias Centrales,2008,3.82
Competencias Centrales,2010,3.88
Competencias Centrales,2012,3.87
Competencias Centrales,2014,3.78
Competencias Centrales,2017,3.92
Cuadro de Mando Integral,2000,3.85
Cuadro de Mando Integral,2002,3.88
Cuadro de Mando Integral,2004,3.86
Cuadro de Mando Integral,2006,3.6
Cuadro de Mando Integral,2008,3.83
Cuadro de Mando Integral,2010,3.9
Cuadro de Mando Integral,2012,3.9
Cuadro de Mando Integral,2014,3.9
Cuadro de Mando Integral,2017,3.93
Cuadro de Mando Integral,2022,4.1
Alianza Estratégica y Capital de Riesgo ,1993,3.7
Alianza Estratégica y Capital de Riesgo ,1999,3.73
Alianza Estratégica y Capital de Riesgo ,2000,3.65
Alianza Estratégica y Capital de Riesgo ,2002,3.8
Alianza Estratégica y Capital de Riesgo ,2004,3.95
Alianza Estratégica y Capital de Riesgo ,2006,3.78
Alianza Estratégica y Capital de Riesgo ,2008,3.82
Alianza Estratégica y Capital de Riesgo ,2010,3.95
Alianza Estratégica y Capital de Riesgo ,2012,3.82
Alianza Estratégica y Capital de Riesgo ,2014,3.9
Alianza Estratégica y Capital de Riesgo ,2017,3.93
Alianza Estratégica y Capital de Riesgo ,2022,4.2
Outsourcing,1999,3.79
Outsourcing,2000,3.77
Outsourcing,2002,3.84
Outsourcing,2004,3.89
Outsourcing,2006,3.68
Outsourcing,2008,3.79
Outsourcing,2010,3.7
Outsourcing,2012,3.65
Outsourcing,2014,3.61
Segmentación de Clientes,1999,3.94
Segmentación de Clientes,2000,3.86
Segmentación de Clientes,2002,4.01
Segmentación de Clientes,2004,3.97
Segmentación de Clientes,2006,3.93
Segmentación de Clientes,2008,3.95
Segmentación de Clientes,2010,3.97
Segmentación de Clientes,2012,3.88
Segmentación de Clientes,2014,3.96
Segmentación de Clientes,2017,4.06
Fusiones y Adquisiciones,2006,3.88
Fusiones y Adquisiciones,2008,3.83
Fusiones y Adquisiciones,2010,3.87
Fusiones y Adquisiciones,2012,3.78
Fusiones y Adquisiciones,2014,3.87
Fusiones y Adquisiciones,2017,3.9
Asignación y Gestión de costos,1993,3.6
Asignación y Gestión de costos,1999,3.73
Asignación y Gestión de costos,2000,3.61
Asignación y Gestión de costos,2002,3.76
Asignación y Gestión de costos,2004,3.74
Presupuesto Base Cero,2012,3.78
Presupuesto Base Cero,2014,3.72
Presupuesto Base Cero,2017,3.82
Presupuesto Base Cero,2022,4.1
Estrategias de Crecimiento,1999,3.82
Estrategias de Crecimiento,2000,3.74
Estrategias de Crecimiento,2002,3.82
Estrategias de Crecimiento,2004,3.91
Estrategias de Crecimiento,2006,3.75
Estrategias de Crecimiento,2008,3.87
Gestión del Conocimiento,1999,3.43
Gestión del Conocimiento,2000,3.22
Gestión del Conocimiento,2002,3.63
Gestión del Conocimiento,2004,3.73
Gestión del Conocimiento,2006,3.59
Gestión del Conocimiento,2008,3.66
Gestión del Conocimiento,2010,3.76
Gestión del Cambio,2002,3.8
Gestión del Cambio,2004,3.75
Gestión del Cambio,2010,3.8
Gestión del Cambio,2012,3.86
Gestión del Cambio,2014,3.69
Gestión del Cambio,2017,3.9
Gestión del Cambio,2022,4
Optimización de Precios,2004,3.87
Optimización de Precios,2008,3.75
Optimización de Precios,2010,3.86
Optimización de Precios,2012,3.78
Optimización de Precios,2014,3.87
Optimización de Precios,2017,4.06
Gestión de la Lealtad del Cliente,2004,3.67
Gestión de la Lealtad del Cliente,2006,3.59
Gestión de la Lealtad del Cliente,2008,3.79
Gestión de la Lealtad del Cliente,2010,3.92
Gestión de la Lealtad del Cliente,2012,3.86
Gestión de la Lealtad del Cliente,2014,3.86
Gestión de la Innovación Colaborativa,2004,3.7
Gestión de la Innovación Colaborativa,2006,3.72
Gestión de la Innovación Colaborativa,2008,3.71
Gestión de la Innovación Colaborativa,2010,3.81
Gestión de la Innovación Colaborativa,2012,3.93
Gestión de la Innovación Colaborativa,2022,4.2
Gestión del Talento y Compromiso de Empleados,2002,4.05
Gestión del Talento y Compromiso de Empleados,2012,3.76
Gestión del Talento y Compromiso de Empleados,2014,3.75
Gestión del Talento y Compromiso de Empleados,2017,3.87
Gestión del Talento y Compromiso de Empleados,2022,4.2